uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
MG,Carvalhos,4076,59,155,9
MG,Casa Grande,2538,25,73,9
MG,Cascalho Rico,3179,23,178,9
MG,Cássia,14337,256,355,9
MG,Cataguases,53916,1345,1769,15
MG,Catas Altas,4622,47,85,9
MG,Catas Altas da Noruega,3685,39,113,9
MG,Catuji,7852,69,151,9
MG,Catuti,4301,30,90,9
MG,Caxambu,18158,384,381,11
MG,Cedro do Abaeté,1287,8,38,9
MG,Central de Minas,6242,46,68,9
MG,Centralina,7321,56,203,9
MG,Chácara,2572,18,44,9
MG,Chalé,5047,41,169,9
MG,Chapada do Norte,10223,57,185,11
MG,Chapada Gaúcha,8437,40,147,9
MG,Chiador,2666,21,69,9
MG,Cipotânea,5854,80,120,9
MG,Claraval,4801,66,84,9
MG,Claro dos Poções,6877,65,112,9
MG,Cláudio,20161,614,447,11
MG,Coimbra,6030,158,191,9
MG,Coluna,7195,58,206,9
MG,Comendador Gomes,2635,21,35,9
MG,Comercinho,6950,53,257,9
MG,Conceição da Aparecida,8061,110,166,9
MG,Conceição da Barra de Minas,3610,23,482,9
MG,Conceição das Alagoas,19553,342,538,11
MG,Conceição das Pedras,2684,26,58,9
MG,Conceição de Ipanema,3895,40,84,9
MG,Conceição do Mato Dentro,15846,242,357,11
MG,Conceição do Pará,5110,63,120,9
MG,Conceição do Rio Verde,10443,276,231,9
MG,Conceição dos Ouros,7981,164,161,9
MG,Cônego Marinho,5868,53,123,9
MG,Confins,6126,90,225,9
MG,Congonhal,8675,126,158,9
MG,Congonhas,40233,1102,1421,13
MG,Congonhas do Norte,4218,70,210,9
MG,Conquista,5325,51,80,9
MG,Conselheiro Lafaiete,91750,4329,7668,13
MG,Conselheiro Pena,17072,179,342,11
MG,Consolação,1883,14,34,9
MG,Contagem,456933,27650,59089,21
MG,Coqueiral,7901,170,159,9
MG,Coração de Jesus,21561,208,772,11
MG,Cordisburgo,7238,88,148,9
MG,Cordislândia,2683,18,23,9
MG,Corinto,20209,291,378,11
MG,Coroaci,9632,102,242,9
MG,Coromandel,23450,289,331,11
MG,Coronel Fabriciano,81039,2273,2922,17
MG,Coronel Murta,7206,77,155,9
MG,Coronel Pacheco,2697,29,59,9
MG,Coronel Xavier Chaves,2858,61,52,9
MG,Córrego Danta,3185,33,64,9
MG,Córrego do Bom Jesus,4060,34,106,9
MG,Córrego Fundo,5211,70,123,9
MG,Córrego Novo,3234,29,47,9
MG,Couto de Magalhães de Minas,4038,48,121,9
MG,Crisólita,5076,23,186,9
MG,Cristais,8329,155,166,9
MG,Cristália,5207,17,57,9
MG,Cristiano Otoni,4343,117,227,9
MG,Cristina,8266,122,220,9
MG,Crucilândia,5111,94,104,9
MG,Cruzeiro da Fortaleza,4140,24,38,9
MG,Cruzília,12457,303,230,9
MG,Cuparaque,4353,17,90,9
MG,Curral de Dentro,6159,63,127,9
MG,Curvelo,56718,2265,1697,15
MG,Datas,4887,45,83,9
MG,Delfim Moreira,6773,105,124,9
MG,Delfinópolis,6334,61,140,9
MG,Delta,6410,67,128,9
MG,Descoberto,4568,40,106,9
MG,Desterro de Entre Rios,5955,165,165,9
MG,Desterro do Melo,3264,31,158,9
MG,Diamantina,36215,869,1012,13
MG,Diogo de Vasconcelos,3501,30,143,9
MG,Dionísio,7325,76,162,9
MG,Divinésia,4041,39,131,9
MG,Divino,15603,244,336,11
MG,Divino das Laranjeiras,4788,29,97,9
MG,Divinolândia de Minas,6464,71,186,9
MG,Divinópolis,158937,8301,12496,17
MG,Divisa Alegre,5048,30,78,9
MG,Divisa Nova,4961,86,93,9
MG,Divisópolis,6415,59,112,9
MG,Dom Bosco,3521,19,53,9
MG,Dom Cavati,5006,50,125,9
MG,Dom Joaquim,3985,53,84,9
MG,Dom Silvério,4590,73,103,9
MG,Dom Viçoso,2861,26,60,9
MG,Dona Eusébia,5393,62,86,9
MG,Dores de Campos,7703,136,196,9
MG,Dores de Guanhães,5140,51,143,9
MG,Dores do Indaiá,11439,187,196,9
MG,Dores do Turvo,5197,55,90,9
MG,Doresópolis,1975,21,42,9
MG,Douradoquara,1844,7,24,9
MG,Durandé,6581,87,179,9
MG,Elói Mendes,19685,510,1125,11
MG,Engenheiro Caldas,7718,104,197,9
MG,Engenheiro Navarro,6362,60,218,9
MG,Entre Folhas,5870,64,112,9
MG,Entre Rios de Minas,11944,254,384,9
MG,Ervália,16472,535,417,11
MG,Esmeraldas,45206,1607,1637,11
MG,Espera Feliz,16429,424,1208,11
MG,Espinosa,20975,206,965,13
MG,Espírito Santo do Dourado,4575,97,127,9
MG,Estiva,8866,249,283,9
MG,Estrela Dalva,2669,20,41,9
MG,Estrela do Indaiá,3102,30,48,9
MG,Estrela do Sul,6012,61,123,9
MG,Eugenópolis,8614,87,160,9
MG,Ewbank da Câmara,4110,67,76,9
MG,Extrema,28333,891,1104,11
MG,Fama,2990,34,47,9
MG,Faria Lemos,3139,31,86,9
MG,Felício dos Santos,4981,36,138,9
MG,Felisburgo,5623,29,165,9
MG,Felixlândia,11986,249,260,9
MG,Fernandes Tourinho,2904,22,98,9
MG,Ferros,8850,123,151,9
MG,Fervedouro,8644,149,323,9
MG,Florestal,6180,105,298,9
MG,Formiga,54392,2185,2305,10
MG,Formoso,6012,23,113,9
MG,Fortaleza de Minas,3519,64,97,9
MG,Fortuna de Minas,2855,31,43,9
MG,Francisco Badaró,7592,58,134,9
MG,Francisco Dumont,4644,40,176,9
MG,Francisco Sá,19195,226,470,11
MG,Franciscópolis,5250,43,149,9
MG,Frei Gaspar,5317,36,205,9
MG,Frei Inocêncio,7219,61,76,9
MG,Frei Lagonegro,3086,23,69,9
MG,Fronteira,10492,97,142,9
MG,Fronteira dos Vales,4448,20,110,9
