uf,name,voters,votos_brancos,votos_nulos,vagas_vereadores
CE,Tabuleiro do Norte,25461,365,526,13
CE,Tamboril,21514,172,517,11
CE,Tarrafas,7545,76,830,9
CE,Tauá,45156,579,806,15
CE,Tejuçuoca,13240,100,223,11
CE,Tianguá,47175,1204,2172,15
CE,Trairi,43009,497,657,15
CE,Tururu,13686,199,181,9
CE,Ubajara,21552,468,532,13
CE,Umari,6494,52,148,9
CE,Umirim,15833,210,317,11
CE,Uruburetama,17003,270,335,11
CE,Uruoca,11452,107,785,9
CE,Varjota,15909,127,390,11
CE,Várzea Alegre,26983,618,547,13
CE,Viçosa do Ceará,39452,796,2060,15
