uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
RS,Estrela,25504,888,688,13
RS,Estrela Velha,2986,112,123,9
RS,Eugênio de Castro,2368,19,35,9
RS,Fagundes Varela,2258,29,25,9
RS,Farroupilha,54770,2528,1978,15
RS,Faxinal do Soturno,5432,90,71,9
RS,Faxinalzinho,2276,23,21,9
RS,Fazenda Vilanova,3190,41,40,9
RS,Feliz,9683,276,280,9
RS,Flores da Cunha,24674,903,752,9
RS,Floriano Peixoto,1823,22,14,9
RS,Fontoura Xavier,8122,193,150,9
RS,Formigueiro,5457,89,83,9
RS,Forquetinha,2298,22,24,9
RS,Fortaleza dos Valos,3979,42,27,9
RS,Frederico Westphalen,24736,728,366,11
RS,Garibaldi,26444,986,719,9
RS,Garruchos,2681,14,33,9
RS,Gaurama,5004,105,73,9
RS,General Câmara,6983,86,71,11
RS,Gentil,1546,15,12,9
RS,Getúlio Vargas,13297,547,372,9
RS,Giruá,12020,147,133,11
RS,Glorinha,6220,133,73,9
RS,Gramado,30235,945,579,9
RS,Gramado dos Loureiros,1985,13,26,9
RS,Gramado Xavier,2862,8,15,9
RS,Gravataí,186699,12237,11165,21
RS,Guabiju,1383,13,8,9
RS,Guaíba,73073,3292,3002,16
RS,Guaporé,19137,550,442,11
RS,Guarani das Missões,6512,88,84,9
RS,Harmonia,4061,71,71,9
RS,Herval,5152,48,73,9
RS,Herveiras,2475,14,27,9
RS,Horizontina,15344,233,209,9
RS,Hulha Negra,4516,59,56,9
RS,Humaitá,3932,50,53,9
RS,Ibarama,3759,15,49,9
RS,Ibiaçá,3958,56,32,9
RS,Ibiraiaras,5297,75,45,9
RS,Ibirapuitã,3449,25,25,9
RS,Ibirubá,16454,310,915,11
RS,Igrejinha,26371,912,398,9
RS,Ijuí,64189,2443,1953,15
RS,Ilópolis,3433,69,38,9
RS,Imbé,17594,362,328,9
RS,Imigrante,2614,52,48,9
RS,Independência,5376,63,66,9
RS,Inhacorá,2048,13,25,9
RS,Ipê,5143,73,157,9
RS,Ipiranga do Sul,1873,8,24,9
RS,Iraí,6257,216,104,9
RS,Itaara,3756,77,61,9
RS,Itacurubi,2637,13,19,9
RS,Itapuca,1859,16,25,9
RS,Itaqui,28089,618,321,11
RS,Itati,2580,15,186,9
RS,Itatiba do Sul,3702,36,40,9
RS,Ivorá,1870,37,30,9
RS,Ivoti,16116,688,618,9
RS,Jaboticaba,3013,16,31,9
RS,Jacuizinho,1985,6,10,9
RS,Jacutinga,2948,42,38,9
RS,Jaguarão,22616,639,491,9
RS,Jaguari,10128,255,200,9
RS,Jaquirana,3207,38,32,9
RS,Jari,2914,49,38,9
RS,Jóia,5963,125,294,9
RS,Júlio de Castilhos,16499,430,233,11
RS,Lagoa Bonita do Sul,2224,14,31,9
RS,Lagoa dos Três Cantos,1552,37,20,9
RS,Lagoa Vermelha,21624,697,292,11
RS,Lagoão,5141,29,44,9
RS,Lajeado,58054,2679,1796,15
RS,Lajeado do Bugre,1765,12,24,9
RS,Lavras do Sul,5137,104,178,9
RS,Liberato Salzano,4323,118,71,9
RS,Lindolfo Collor,4146,75,93,9
RS,Linha Nova,1384,12,9,9
RS,Maçambará,3704,36,22,9
RS,Machadinho,4856,100,55,9
RS,Mampituba,2636,28,20,9
RS,Manoel Viana,5199,73,250,9
RS,Maquiné,5417,117,106,9
RS,Maratá,2169,19,24,9
RS,Marau,30002,999,575,9
RS,Marcelino Ramos,3742,42,29,9
RS,Mariana Pimentel,3424,57,32,9
RS,Mariano Moro,2047,13,16,9
RS,Marques de Souza,3413,39,24,9
RS,Mata,4016,41,47,9
RS,Mato Castelhano,2552,17,17,9
RS,Mato Leitão,3536,38,33,9
RS,Mato Queimado,1555,19,31,9
RS,Maximiliano de Almeida,3904,131,114,9
RS,Minas do Leão,5763,129,68,9
RS,Miraguaí,3808,52,31,9
RS,Montauri,1470,7,11,9
RS,Monte Alegre dos Campos,3258,27,161,9
RS,Monte Belo do Sul,2957,16,51,9
RS,Montenegro,46368,2363,2313,10
RS,Mormaço,2614,24,24,9
RS,Morrinhos do Sul,2880,21,104,9
RS,Morro Redondo,5182,128,302,9
RS,Morro Reuter,4876,100,103,9
RS,Mostardas,9865,175,129,9
RS,Muçum,3976,71,46,9
RS,Muitos Capões,2378,39,26,9
RS,Muliterno,2156,13,18,9
RS,Não-Me-Toque,13138,411,253,9
RS,Nicolau Vergueiro,1917,20,28,9
RS,Nonoai,8750,221,120,9
RS,Nova Alvorada,2604,31,30,9
RS,Nova Araçá,3741,58,182,9
RS,Nova Bassano,6615,133,320,9
RS,Nova Boa Vista,1888,19,13,9
RS,Nova Bréscia,2639,21,32,9
RS,Nova Candelária,2449,22,11,9
RS,Nova Esperança do Sul,3941,43,63,9
RS,Nova Hartz,13572,247,228,11
RS,Nova Pádua,2283,66,55,9
RS,Nova Palma,5082,35,55,9
RS,Nova Petrópolis,17317,586,596,11
RS,Nova Prata,19548,524,367,11
RS,Nova Ramada,2008,21,10,9
RS,Nova Roma do Sul,2928,8,20,9
RS,Nova Santa Rita,16063,584,391,11
RS,Novo Barreiro,3394,96,64,9
RS,Novo Cabrais,3473,43,27,9
RS,Novo Hamburgo,178138,10858,8450,14
RS,Novo Machado,3112,24,14,9
RS,Novo Tiradentes,1732,9,22,9
RS,Novo Xingu,1537,4,9,9
RS,Osório,35177,1192,936,9
RS,Paim Filho,3780,26,44,9
RS,Palmares do Sul,10119,210,146,9
RS,Palmeira das Missões,26423,671,396,13
RS,Palmitinho,6337,137,70,9
RS,Panambi,31619,1273,572,13
RS,Pantano Grande,7763,91,67,9
RS,Paraí,6063,83,56,9
RS,Paraíso do Sul,5932,84,65,9
RS,Pareci Novo,2943,32,41,9
RS,Parobé,38687,1114,1338,15
RS,Passa Sete,4108,32,40,9
RS,Passo do Sobrado,4710,66,46,9
RS,Passo Fundo,142329,5788,2788,21
RS,Paulo Bento,2153,24,21,9
RS,Paverama,5659,63,103,9
RS,Pedras Altas,1963,13,22,9
RS,Pedro Osório,6679,139,87,9
RS,Pejuçara,3297,69,74,9
RS,Pelotas,228634,13715,11191,21
RS,Picada Café,4171,47,84,9
RS,Pinhal,2055,33,30,9
RS,Pinhal da Serra,2380,18,13,9
RS,Pinhal Grande,3450,35,35,9
RS,Pinheirinho do Vale,3482,22,23,9
RS,Pinheiro Machado,9944,268,195,9
RS,Pinto Bandeira,2297,11,23,9
RS,Pirapó,2208,11,29,9
RS,Piratini,16200,497,254,9
RS,Planalto,8233,199,121,9
RS,Poço das Antas,1934,19,18,9
RS,Pontão,3064,26,24,9
RS,Ponte Preta,1668,9,9,9
RS,Portão,23723,969,1046,11
RS,Porto Alegre,1098515,59698,75597,36
RS,Porto Lucena,3920,52,46,9
RS,Porto Mauá,2186,54,55,9
RS,Porto Vera Cruz,1644,2,21,9
RS,Porto Xavier,7196,82,81,9
RS,Pouso Novo,1538,11,22,9
RS,Presidente Lucena,2276,23,31,9
RS,Progresso,4682,25,28,9
RS,Protásio Alves,1832,28,26,9
RS,Putinga,3987,108,71,9
RS,Quaraí,18927,315,312,11
RS,Quatro Irmãos,1494,13,9,9
RS,Quevedos,2192,30,37,9
RS,Quinze de Novembro,3220,25,28,9
RS,Redentora,6122,86,681,9
RS,Relvado,2023,10,16,9
RS,Restinga Sêca,13887,259,136,9
RS,Rio dos Índios,2818,47,32,9
RS,Rio Grande,154595,7170,6557,21
RS,Rio Pardo,30763,840,456,13
RS,Riozinho,3796,52,261,9
RS,Roca Sales,8149,154,148,9
RS,Rodeio Bonito,4639,117,83,9
RS,Rolador,2183,10,46,9
RS,Rolante,14680,300,237,9
RS,Ronda Alta,7726,122,53,9
RS,Rondinha,4609,43,28,9
RS,Roque Gonzales,6103,72,86,9
RS,Rosário do Sul,32767,641,458,13
RS,Sagrada Família,2190,18,28,9
RS,Saldanha Marinho,2622,50,25,9
RS,Salto do Jacuí,9225,110,114,9
