uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
PR,Itaguajé,3755,35,87,9
PR,Itaipulândia,9021,76,475,9
PR,Itambaracá,5355,57,91,9
PR,Itambé,5049,62,94,9
PR,Itapejara D'Oeste,9095,190,560,9
PR,Itaperuçu,18252,348,739,11
PR,Itaúna do Sul,3271,29,56,9
PR,Ivaí,9981,154,148,9
PR,Ivaiporã,24550,526,495,9
PR,Ivaté,5848,65,113,9
PR,Ivatuba,2439,22,34,9
PR,Jaboti,4162,52,116,9
PR,Jacarezinho,31783,881,1001,9
PR,Jaguapitã,10352,215,222,9
PR,Jaguariaíva,25950,619,1733,13
PR,Jandaia do Sul,16647,515,579,9
PR,Janiópolis,4960,97,173,9
PR,Japira,4261,56,107,9
PR,Japurá,7168,115,165,9
PR,Jardim Alegre,9434,126,141,9
PR,Jardim Olinda,1417,16,13,9
PR,Jataizinho,9968,257,211,9
PR,Jesuítas,7371,105,134,9
PR,Joaquim Távora,8853,199,234,9
PR,Jundiaí do Sul,2783,25,40,9
PR,Juranda,6128,99,100,9
PR,Jussara,5829,63,91,9
PR,Kaloré,3841,75,58,9
PR,Lapa,33419,1423,1131,9
PR,Laranjal,5080,31,62,9
PR,Laranjeiras do Sul,24094,356,483,13
PR,Leópolis,3622,30,67,9
PR,Lidianópolis,3674,28,59,9
PR,Lindoeste,4341,46,36,9
PR,Loanda,16005,331,270,9
PR,Lobato,3883,19,41,9
PR,Londrina,353314,21935,24602,19
PR,Luiziana,5497,68,81,9
PR,Lunardelli,4352,52,70,9
PR,Lupionópolis,4179,39,61,9
PR,Mallet,10605,204,304,9
PR,Mamborê,11227,188,195,9
PR,Mandaguaçu,16464,595,555,9
PR,Mandaguari,27183,1088,1204,9
PR,Mandirituba,17135,424,421,9
PR,Manfrinópolis,3059,17,31,9
PR,Mangueirinha,14001,160,165,11
PR,Manoel Ribas,10658,123,114,9
PR,Marechal Cândido Rondon,37834,790,1054,13
PR,Maria Helena,4702,42,79,9
PR,Marialva,27916,1113,771,9
PR,Marilândia do Sul,7223,127,149,9
PR,Marilena,6232,66,206,9
PR,Mariluz,8292,101,187,9
PR,Maringá,261717,6702,12487,15
PR,Mariópolis,5353,100,83,9
PR,Maripá,5022,76,83,9
PR,Marmeleiro,11264,397,273,9
PR,Marquinho,4019,36,39,9
PR,Marumbi,3836,49,53,9
PR,Matelândia,13021,265,242,11
PR,Matinhos,29417,733,1638,11
PR,Mato Rico,3231,20,26,9
PR,Mauá da Serra,7142,81,103,9
PR,Medianeira,34463,1247,836,9
PR,Mercedes,4545,38,43,9
PR,Mirador,2297,12,19,9
PR,Miraselva,1681,23,41,9
PR,Missal,8833,85,94,9
PR,Moreira Sales,9759,140,141,9
PR,Morretes,15216,297,639,11
PR,Munhoz de Melo,3473,28,31,9
PR,Nossa Senhora das Graças,3402,32,43,9
PR,Nova Aliança do Ivaí,1569,8,11,9
PR,Nova América da Colina,3285,26,71,9
PR,Nova Aurora,9817,173,174,9
PR,Nova Cantu,5631,42,74,9
PR,Nova Esperança,21263,735,591,9
PR,Nova Esperança do Sudoeste,4719,32,26,9
PR,Nova Fátima,6548,105,127,9
PR,Nova Laranjeiras,7961,69,125,9
PR,Nova Londrina,10477,224,244,9
PR,Nova Olímpia,4815,54,210,9
PR,Nova Prata do Iguaçu,8645,87,413,9
PR,Nova Santa Bárbara,3463,34,58,9
PR,Nova Santa Rosa,6638,94,75,9
PR,Nova Tebas,5843,52,83,9
PR,Novo Itacolomi,2561,32,34,9
PR,Ortigueira,18310,204,207,11
PR,Ourizona,3033,39,75,9
PR,Ouro Verde do Oeste,4454,62,92,9
PR,Paiçandu,26914,1152,1165,9
PR,Palmas,29998,963,507,13
PR,Palmeira,26308,1110,1118,9
PR,Palmital,11831,121,125,9
PR,Palotina,22723,678,512,9
PR,Paraíso do Norte,9102,161,142,9
