uf,name,voters,votos_brancos,votos_nulos,vagas_vereadores
PB,Santa Cruz,5302,36,71,9
PB,Santa Helena,5663,69,154,9
PB,Santa Inês,3951,34,105,9
PB,Santa Luzia,10852,219,283,11
PB,Santa Rita,88677,2704,4334,19
PB,Santa Teresinha,4764,68,112,9
PB,Santana de Mangueira,4783,71,146,9
PB,Santana dos Garrotes,5943,49,178,9
PB,Santarém,2825,12,57,9
PB,Santo André,2584,32,73,9
PB,São Bentinho,3340,29,127,9
PB,São Bento,26218,269,376,13
PB,São Domingos de Pombal,2783,23,65,9
PB,São Domingos do Cariri,2659,16,52,9
PB,São Francisco,3633,30,95,9
PB,São João do Cariri,3967,34,91,9
PB,São João do Rio do Peixe,14685,203,367,11
PB,São João do Tigre,3548,29,122,9
PB,São José da Lagoa Tapada,6074,81,220,9
PB,São José de Caiana,4587,44,122,9
PB,São José de Espinharas,3811,43,94,9
PB,São José de Piranhas,15486,172,348,11
PB,São José de Princesa,3596,32,111,9
PB,São José do Bonfim,3320,43,112,9
PB,São José do Brejo do Cruz,1953,9,30,9
PB,São José do Sabugi,3622,37,107,9
PB,São José dos Cordeiros,2983,41,82,9
PB,São José dos Ramos,5182,52,193,9
PB,São Mamede,6258,100,197,9
PB,São Miguel de Taipu,5920,75,167,9
PB,São Sebastião de Lagoa de Roça,8256,203,342,9
PB,São Sebastião do Umbuzeiro,2834,20,57,9
PB,São Vicente do Seridó,7964,117,161,9
PB,Sapé,38960,899,1200,15
PB,Serra Branca,9559,183,261,9
PB,Serra da Raiz,2537,33,60,9
PB,Serra Grande,3170,14,108,9
PB,Serra Redonda,6653,102,177,9
PB,Serraria,4786,60,171,9
PB,Sertãozinho,4279,42,103,9
PB,Sobrado,7287,127,174,9
PB,Solânea,22747,463,570,11
PB,Soledade,10328,199,304,9
PB,Sossêgo,3109,11,215,9
PB,Sousa,43564,1064,953,15
PB,Sumé,12143,263,506,11
PB,Tacima,7818,68,174,9
PB,Taperoá,10176,209,341,11
PB,Tavares,11773,184,329,9
PB,Teixeira,10262,130,180,9
PB,Tenório,2514,22,58,9
PB,Triunfo,7598,78,250,9
PB,Uiraúna,11600,120,304,11
PB,Umbuzeiro,6809,135,319,9
PB,Várzea,2336,11,44,9
PB,Vieirópolis,4747,44,183,9
PB,Vista Serrana,3117,16,61,9
PB,Zabelê,2002,23,84,9
