uf,name,voters,votos_brancos,votos_nulos,vagas_vereadores
PI,Parnaguá,7241,53,154,9
PI,Parnaíba,98336,2226,2734,17
PI,Passagem Franca do Piauí,4152,23,70,9
PI,Patos do Piauí,5697,47,224,9
PI,Pau D'Arco do Piauí,4466,32,66,9
PI,Paulistana,15951,130,600,11
PI,Pavussu,3967,12,86,9
PI,Pedro II,27317,369,490,13
PI,Pedro Laurentino,2800,9,45,9
PI,Picos,49001,571,1017,15
PI,Pimenteiras,9561,43,243,9
PI,Pio Ix,14425,101,565,11
PI,Piracuruca,22268,224,486,11
PI,Piripiri,47992,961,1620,15
PI,Porto,9161,89,289,9
PI,Porto Alegre do Piauí,1788,7,64,9
PI,Prata do Piauí,3568,18,117,9
PI,Queimada Nova,6998,56,124,9
PI,Redenção do Gurguéia,5850,43,103,9
PI,Regeneração,13007,153,287,9
PI,Riacho Frio,4438,24,111,9
PI,Ribeira do Piauí,3693,12,89,9
PI,Ribeiro Gonçalves,5358,23,178,9
PI,Rio Grande do Piauí,5995,53,157,9
PI,Santa Cruz do Piauí,5422,40,486,9
PI,Santa Cruz dos Milagres,3761,17,68,9
PI,Santa Filomena,4925,50,163,9
PI,Santa Luz,4480,37,137,9
PI,Santa Rosa do Piauí,3954,19,114,9
PI,Santana do Piauí,3469,23,116,9
PI,Santo Antônio de Lisboa,5481,30,164,9
PI,Santo Antônio dos Milagres,1857,21,30,9
PI,Santo Inácio do Piauí,3031,15,81,9
PI,São Braz do Piauí,3465,23,88,9
PI,São Félix do Piauí,3979,16,93,9
PI,São Francisco de Assis do Piauí,4430,27,143,9
PI,São Francisco do Piauí,5121,18,87,9
PI,São Gonçalo do Gurguéia,2419,9,66,9
PI,São Gonçalo do Piauí,4743,24,112,9
PI,São João da Canabrava,5191,12,110,9
PI,São João da Fronteira,4247,20,125,9
PI,São João da Serra,5613,59,142,9
PI,São João da Varjota,3542,19,95,9
PI,São João do Arraial,6854,62,146,9
PI,São João do Piauí,14222,137,522,11
PI,São José do Divino,4350,36,88,9
PI,São José do Peixe,3441,36,112,9
PI,São José do Piauí,5198,22,176,9
PI,São Julião,5452,0,0,9
PI,São Lourenço do Piauí,4281,30,114,9
