uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
RR,Alto Alegre,10174,63,966,9
RR,Amajari,6185,38,1254,9
RR,Boa Vista,203575,5195,10994,21
RR,Bonfim,8753,57,875,9
RR,Cantá,11694,96,394,9
RR,Caracaraí,13412,81,174,11
RR,Caroebe,6067,47,186,9
RR,Iracema,5358,31,124,9
RR,Mucajaí,11978,89,427,11
RR,Normandia,6310,41,82,9
RR,Pacaraima,8624,59,406,9
RR,Rorainópolis,17308,149,515,11
RR,São João da Baliza,4820,35,95,9
RR,São Luiz,5205,22,68,9
RR,Uiramutã,5342,19,707,9
