uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
SP,Echaporã,5352,73,107,9
SP,Eldorado,11911,160,362,9
SP,Elias Fausto,13517,376,351,11
SP,Elisiário,2802,23,50,9
SP,Embaúba,2611,26,37,9
SP,Embu das Artes,168051,8694,11741,15
SP,Embu-Guaçu,52752,2015,4281,13
SP,Emilianópolis,2733,29,192,9
SP,Engenheiro Coelho,13157,237,791,11
SP,Espírito Santo do Pinhal,34273,1591,1222,9
SP,Espírito Santo do Turvo,3561,38,51,9
SP,Estiva Gerbi,8574,178,296,9
SP,Estrela D'Oeste,7100,138,166,9
SP,Estrela do Norte,2725,10,45,9
SP,Euclides da Cunha Paulista,7859,67,102,9
SP,Fartura,13153,272,283,9
SP,Fernando Prestes,5058,59,108,9
SP,Fernandópolis,51321,1730,1587,13
SP,Fernão,1655,20,22,9
SP,Ferraz de Vasconcelos,124774,5735,7754,17
SP,Flora Rica,1885,12,16,9
SP,Floreal,2862,40,62,9
SP,Flórida Paulista,8451,183,246,9
SP,Florínea,2894,23,34,9
SP,Franca,231871,9985,19127,15
SP,Francisco Morato,117890,6334,7867,12
SP,Franco da Rocha,97911,5135,6526,11
SP,Gabriel Monteiro,2687,28,83,9
SP,Gália,5571,105,94,9
SP,Garça,35138,1592,1350,13
SP,Gastão Vidigal,3375,47,70,9
SP,Gavião Peixoto,3928,45,88,9
SP,General Salgado,8999,110,127,9
SP,Getulina,8529,114,149,9
SP,Glicério,4283,51,91,9
SP,Guaiçara,8628,223,162,9
SP,Guaimbé,4780,72,176,9
SP,Guaíra,29903,696,672,11
SP,Guapiaçu,14140,419,516,9
SP,Guapiara,15894,373,303,11
SP,Guará,15219,232,276,11
SP,Guaraçaí,6966,111,160,9
SP,Guaraci,8747,104,147,9
SP,Guarani D'Oeste,1753,15,23,9
SP,Guarantã,5608,84,265,9
SP,Guararapes,25128,443,1143,9
SP,Guararema,23867,654,831,11
SP,Guaratinguetá,90858,3850,3902,11
SP,Guareí,8908,334,457,9
SP,Guariba,28503,763,765,11
SP,Guarujá,225501,10747,19265,17
SP,Guarulhos,902720,47843,94790,34
SP,Guatapará,5560,94,101,9
SP,Guzolândia,3864,44,82,9
SP,Herculândia,7281,112,213,9
SP,Holambra,10405,260,311,9
SP,Hortolândia,144192,6453,8274,19
SP,Iacanga,8040,169,129,9
SP,Iacri,5475,66,118,9
SP,Iaras,4383,51,79,9
SP,Ibaté,24314,1152,1077,9
SP,Ibirá,8757,109,374,9
SP,Ibirarema,4980,115,134,9
SP,Ibitinga,42464,1647,1420,10
SP,Ibiúna,59448,2059,2381,15
SP,Icém,6747,65,120,9
SP,Iepê,6300,75,119,9
SP,Igaraçu do Tietê,18797,764,944,11
SP,Igarapava,22033,336,402,11
SP,Igaratá,8370,168,164,9
SP,Iguape,23107,460,654,13
SP,Ilha Comprida,10895,100,336,9
SP,Ilha Solteira,21657,444,897,9
SP,Ilhabela,23409,370,729,9
SP,Indaiatuba,154634,7663,8249,12
SP,Indiana,4443,92,109,9
SP,Indiaporã,3378,21,57,9
SP,Inúbia Paulista,3214,38,52,9
SP,Ipaussu,10944,303,311,9
SP,Iperó,18810,598,763,11
SP,Ipeúna,5136,92,123,9
SP,Ipiguá,4242,82,93,9
SP,Iporanga,3668,27,73,9
SP,Ipuã,10941,250,324,9
SP,Iracemápolis,16495,526,551,11
SP,Irapuã,5732,120,132,9
SP,Irapuru,5494,96,120,9
SP,Itaberá,14198,349,213,9
SP,Itaí,17087,471,510,9
SP,Itajobi,12557,276,293,9
SP,Itaju,3264,35,106,9
SP,Itanhaém,73882,2073,2920,10
SP,Itaoca,3177,37,74,9
SP,Itapecerica da Serra,113325,6133,6084,12
SP,Itapetininga,107012,4995,5046,19
SP,Itapeva,69478,2012,1425,15
SP,Itapevi,145972,7228,8120,17
SP,Itapira,55838,3222,3268,10
SP,Itapirapuã Paulista,3347,34,75,9
SP,Itápolis,31389,1313,1463,9
SP,Itaporanga,11560,202,242,9
SP,Itapuí,9128,204,385,9
SP,Itapura,4050,56,65,9
SP,Itaquaquecetuba,223323,10514,10554,19
SP,Itararé,37098,1206,889,13
SP,Itariri,9958,157,248,11
SP,Itatiba,77171,3453,3969,17
SP,Itatinga,14263,422,772,11
SP,Itirapina,9531,169,221,11
SP,Itirapuã,5108,86,87,9
SP,Itobi,6569,130,292,9
SP,Itu,122515,4942,6942,13
SP,Itupeva,38339,1480,2113,13
SP,Ituverava,30172,726,887,13
SP,Jaborandi,5142,101,98,9
SP,Jaboticabal,53746,1971,1934,13
SP,Jacareí,162255,7289,10312,13
SP,Jaci,5408,113,91,9
SP,Jacupiranga,13740,301,280,9
SP,Jaguariúna,37449,1351,2250,13
SP,Jales,37680,2360,2502,10
SP,Jambeiro,4719,71,81,9
SP,Jandira,77505,4518,6178,13
SP,Jardinópolis,27906,963,993,13
SP,Jarinu,20467,538,580,11
SP,Jaú,98930,4585,9688,17
SP,Jeriquara,3491,35,94,9
SP,Joanópolis,9493,271,414,9
SP,João Ramalho,3845,45,106,9
SP,José Bonifácio,26022,772,470,9
SP,Júlio Mesquita,3985,61,99,9
SP,Jumirim,2430,43,47,9
SP,Jundiaí,290278,11653,28632,19
SP,Junqueirópolis,13989,432,400,9
SP,Juquiá,17351,231,290,11
SP,Juquitiba,23096,430,554,11
SP,Lagoinha,5579,114,63,9
SP,Laranjal Paulista,20876,647,605,11
SP,Lavínia,4337,70,113,9
SP,Lavrinhas,6171,112,238,9
SP,Leme,72298,3224,5497,17
SP,Lençóis Paulista,47111,2237,2266,12
SP,Limeira,212581,10829,14672,21
SP,Lindóia,5658,103,142,9
SP,Lins,56487,2622,3487,15
SP,Lorena,63596,2456,2328,17
SP,Lourdes,1999,18,43,9
