uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
BA,Inhambupe,25502,431,679,13
BA,Ipecaetá,13759,108,243,11
BA,Ipiaú,28094,443,1340,13
BA,Ipirá,46069,628,1955,15
BA,Ipupiara,7937,65,175,9
BA,Irajuba,4877,49,144,9
BA,Iramaia,9205,83,220,9
BA,Iraquara,16456,135,1771,11
BA,Irará,23335,295,563,11
BA,Irecê,45251,740,1421,15
BA,Itabela,22667,332,690,11
BA,Itaberaba,41981,681,1552,15
BA,Itabuna,150221,2608,5715,21
BA,Itacaré,15194,162,867,11
BA,Itaeté,10417,74,312,9
BA,Itagi,9005,95,305,9
BA,Itagibá,10254,122,217,11
BA,Itagimirim,6479,39,188,9
BA,Itaguaçu da Bahia,10003,48,185,9
BA,Itaju do Colônia,5379,22,172,9
BA,Itajuípe,17662,151,932,11
BA,Itamaraju,43686,528,1327,15
BA,Itamari,6867,54,210,9
BA,Itambé,18808,145,444,11
BA,Itanagra,5151,54,80,9
BA,Itanhém,16063,130,436,9
BA,Itaparica,17506,165,499,9
BA,Itapé,9663,110,276,9
BA,Itapebi,8515,44,195,9
BA,Itapetinga,46322,625,1101,15
BA,Itapicuru,23709,238,685,13
BA,Itapitanga,6915,38,128,9
BA,Itaquara,5995,65,237,9
BA,Itarantim,13990,141,262,11
BA,Itatim,11544,145,298,9
BA,Itiruçu,9626,130,311,9
BA,Itiúba,29093,325,585,13
BA,Itororó,16890,123,576,11
BA,Ituaçu,14505,136,359,11
BA,Ituberá,19796,229,446,11
BA,Iuiu,8542,48,131,9
BA,Jaborandi,8001,78,275,9
BA,Jacaraci,12074,85,371,9
BA,Jacobina,57289,961,1655,17
BA,Jaguaquara,30923,481,1278,15
BA,Jaguarari,22206,202,436,13
BA,Jaguaripe,12928,165,422,11
BA,Jandaíra,8476,75,522,9
BA,Jequié,109526,1977,6995,19
BA,Jeremoabo,26193,198,729,13
BA,Jiquiriçá,10961,155,236,11
BA,Jitaúna,10973,85,684,9
BA,João Dourado,17681,151,265,11
BA,Juazeiro,146385,1862,2776,21
BA,Jucuruçu,8493,68,302,9
BA,Jussara,12491,113,337,11
BA,Jussari,5222,38,141,9
BA,Jussiape,6715,63,128,9
BA,Lafaiete Coutinho,3840,33,56,9
BA,Lagoa Real,10879,68,398,9
BA,Laje,19400,235,857,11
BA,Lajedão,5145,23,116,9
BA,Lajedinho,3254,26,140,9
BA,Lajedo do Tabocal,6333,75,142,9
BA,Lamarão,8125,73,210,9
BA,Lapão,20670,185,387,11
BA,Lauro de Freitas,118561,3332,6571,17
BA,Lençóis,7454,76,244,9
BA,Licínio de Almeida,9324,91,260,9
BA,Livramento de Nossa Senhora,33728,400,766,13
BA,Luís Eduardo Magalhães,46518,656,827,15
BA,Macajuba,10072,80,629,9
BA,Macarani,13940,138,323,11
BA,Macaúbas,34266,380,1164,15
BA,Macururé,6682,28,127,9
BA,Madre de Deus,13234,102,196,11
BA,Maetinga,6897,67,190,9
BA,Maiquinique,7711,79,222,9
BA,Mairi,14695,181,336,11
BA,Malhada,13241,74,193,11
BA,Malhada de Pedras,7536,46,347,9
BA,Manoel Vitorino,12355,77,292,9
BA,Mansidão,10131,39,168,9
BA,Maracás,21030,364,566,11
BA,Maragogipe,33480,321,633,13
BA,Maraú,13400,116,413,11
BA,Marcionílio Souza,7984,67,295,9
BA,Mascote,9514,55,362,9
BA,Mata de São João,36595,653,955,13
BA,Matina,9331,60,412,9
BA,Medeiros Neto,18174,183,535,11
BA,Miguel Calmon,21758,212,903,11
BA,Milagres,9122,68,200,9
BA,Mirangaba,12091,83,248,11
BA,Mirante,7661,48,193,9
BA,Monte Santo,43025,349,849,15
BA,Morpará,7285,40,161,9
BA,Morro do Chapéu,23557,191,553,13
BA,Mortugaba,9615,58,163,9
BA,Mucugê,8866,81,399,9
BA,Mucuri,27631,215,771,13
BA,Mulungu do Morro,9704,50,239,9
BA,Mundo Novo,15955,134,372,11
BA,Muniz Ferreira,7371,96,201,9
BA,Muquém do São Francisco,9348,24,144,9
BA,Muritiba,19485,412,505,11
BA,Mutuípe,18164,202,512,11
BA,Nazaré,21609,321,446,11
BA,Nilo Peçanha,9030,127,246,9
BA,Nordestina,10554,110,479,9
BA,Nova Canaã,12580,92,407,11
BA,Nova Fátima,7376,81,160,9
BA,Nova Ibiá,5486,39,95,9
BA,Nova Itarana,5669,66,171,9
BA,Nova Redenção,6205,46,199,9
BA,Nova Soure,20118,177,559,11
BA,Nova Viçosa,29395,370,1028,13
BA,Novo Horizonte,8603,74,164,9
BA,Novo Triunfo,8310,39,232,11
BA,Olindina,20826,197,345,11
BA,Oliveira dos Brejinhos,16809,155,478,11
BA,Ouriçangas,7080,81,233,9
BA,Ourolândia,13175,81,585,11
BA,Palmas de Monte Alto,17207,185,550,11
BA,Palmeiras,6670,47,239,9
BA,Paramirim,16549,186,489,11
BA,Paratinga,21980,164,378,13
BA,Paripiranga,21220,316,1362,11
BA,Pau Brasil,7500,53,172,9
BA,Paulo Afonso,79759,1509,3927,15
BA,Pé de Serra,11255,58,239,9
BA,Pedrão,6203,80,125,9
BA,Pedro Alexandre,9559,84,291,11
BA,Piatã,16097,131,407,11
BA,Pilão Arcado,25088,115,535,13
BA,Pindaí,12453,75,334,11
BA,Pindobaçu,15488,120,289,11
BA,Pintadas,8616,46,206,10
BA,Piraí do Norte,6375,65,139,9
BA,Piripá,9443,60,187,9
BA,Piritiba,13826,110,265,11
BA,Planaltino,6575,50,164,9
BA,Planalto,18211,174,431,11
BA,Poções,35427,362,979,13
BA,Pojuca,26252,645,915,13
BA,Ponto Novo,13192,139,333,11
BA,Porto Seguro,87438,1402,2240,17
BA,Potiraguá,9186,63,237,9
BA,Prado,21271,250,886,11
BA,Presidente Dutra,10922,101,313,9
BA,Presidente Jânio Quadros,11738,81,298,9
BA,Presidente Tancredo Neves,20109,269,716,11
BA,Queimadas,20003,242,473,11
BA,Quinjingue,20848,127,1686,11
BA,Quixabeira,8322,71,250,9
BA,Rafael Jambeiro,17958,138,498,11
BA,Remanso,29904,261,670,13
BA,Retirolândia,11107,87,234,9
BA,Riachão das Neves,18781,104,436,11
BA,Riachão do Jacuípe,25118,412,614,13
BA,Riacho de Santana,23350,312,523,13
BA,Ribeira do Amparo,12512,103,250,9
BA,Ribeira do Pombal,40693,564,652,14
BA,Ribeirão do Largo,7327,53,127,9
BA,Rio de Contas,12172,78,286,9
BA,Rio do Antônio,11600,69,842,9
BA,Rio do Pires,10365,71,233,9
BA,Rio Real,29373,436,463,13
BA,Rodelas,6692,27,165,9
BA,Ruy Barbosa,24089,337,1275,11
BA,Salinas da Margarida,11613,124,239,9
BA,Salvador,1948154,93645,161256,43
BA,Santa Bárbara,18020,204,796,11
BA,Santa Brígida,12005,97,374,11
BA,Santa Cruz Cabrália,19211,195,543,11
BA,Santa Cruz da Vitória,4879,29,127,9
BA,Santa Inês,8240,131,171,9
BA,Santa Luzia,9606,73,233,9
BA,Santa Maria da Vitória,30107,337,692,13
BA,Santa Rita de Cássia,22889,174,497,11
BA,Santa Terezinha,8874,97,250,9
BA,Santaluz,30094,341,939,13
BA,Santana,20342,245,471,11
BA,Santanópolis,8766,107,194,9
BA,Santo Amaro,46155,749,1351,15
BA,Santo Antônio de Jesus,61187,1249,3664,14
BA,Santo Estevão,36739,551,1462,15
BA,São Desidério,20200,129,569,13
BA,São Domingos,7269,40,122,9
BA,São Felipe,17397,228,414,11
BA,São Félix,10408,129,321,9
BA,São Félix do Coribe,10655,125,200,11
BA,São Francisco do Conde,29042,184,437,13
BA,São Gabriel,15583,123,371,11
BA,São Gonçalo dos Campos,26222,377,545,13
BA,São José da Vitória,4186,25,183,9
BA,São José do Jacuípe,7960,109,165,9
BA,São Miguel das Matas,8653,66,456,9
BA,São Sebastião do Passé,33034,536,927,13
BA,Sapeaçu,14929,229,766,11
BA,Sátiro Dias,14078,131,413,11
BA,Saubara,11920,116,185,9
BA,Saúde,8791,100,200,9
BA,Seabra,30592,312,1191,13
BA,Sebastião Laranjeiras,7193,59,103,9
BA,Senhor do Bonfim,44981,934,2302,15
BA,Sento Sé,29132,121,508,13
BA,Serra do Ramalho,23496,179,696,11
BA,Serra Dourada,15414,138,263,11
BA,Serra Preta,17348,160,478,11
BA,Serrinha,56264,630,1788,17
BA,Serrolândia,10369,75,266,9
BA,Simões Filho,79514,1723,3078,19
BA,Sítio do Mato,9960,55,122,9
BA,Sítio do Quinto,9669,53,194,9
BA,Sobradinho,17943,155,272,11
BA,Souto Soares,12795,65,160,11
BA,Tabocas do Brejo Velho,10505,75,181,9
BA,Tanhaçu,17074,96,528,11
BA,Tanque Novo,12285,174,309,11
BA,Tanquinho,6877,62,128,9
BA,Taperoá,12900,136,270,11
BA,Tapiramutá,11541,109,330,11
BA,Teixeira de Freitas,103123,1739,2917,19
BA,Teodoro Sampaio,6761,74,164,9
BA,Teofilândia,17658,143,370,11
BA,Teolândia,10812,116,301,9
BA,Terra Nova,10165,134,270,9
BA,Tremedal,16464,97,440,11
BA,Tucano,39463,418,815,15
BA,Uauá,21087,229,569,11
BA,Ubaíra,16115,168,335,11
